SMILES,X1s,Y1s,Category,Ring1_Substituents,Ring2_Substituents,Ring1_Positions,Ring2_Positions
CC(C)ON([C@H](CCNC(=O)c1cccc(C(=O)NCC[C@H](C(=O)O)N(OC(C)C)S(=O)(=O)c2ccc(-c3ccccc3)cc2)c1)C(=O)O)S(=O)(=O)c1ccc(-c2ccccc2)cc1,0.239015473,0.934991888,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
O=C(CN1CCCC[C@H]1C(=O)Nc1cccc(-c2ccccc2)c1)c1ccccc1,0.237930271,0.88050859,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 1, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
CNC1CCN(c2ccc(NC(=O)c3ccc(-c4ccccc4)cc3)cc2)C1,0.039641771,0.975134447,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
NCCc1nnc(-c2ccccc2-c2ccccc2)s1,0.390062981,0.719445375,single-ring-substituted,1,0,"{'ortho': 1, 'meta': 0, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
CC(C)C(=O)SCCCCCCC(=O)Nc1cccc(-c2ccccc2)c1,0.357473132,0.740667266,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 1, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
CCc1cc2c(N3CCN(C(=O)c4ccc(-c5ccccc5)cc4)CC3)nc(NCCCO)nc2s1,0.218177269,0.844542535,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
Cc1ccc(S(=O)(=O)NC[C@@H]2C3CC(c4ccc(-c5ccccc5)cc4)(CO3)[C@H]2C/C=C\CCC(=O)O)cc1,0.313503636,0.842663009,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CC(=O)N[C@H]1[C@H]([C@@H](O)[C@H](O)CNC(=O)c2ccc(Cl)cc2)O[C@@](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O[C@@H]3CCO[C@H](COc4ccc(-c5ccccc5)cc4)[C@@H]3O)[C@@H]2O)(C(=O)O)C[C@@H]1O,0.450509861,0.66763344,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CC(C)n1cnc2c(N(C)Cc3ccc(-c4ccccc4)cc3)nc(Cl)nc21,0.130793729,0.909773839,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CC(C)(C)OC(=O)NC(CCCCCB(O)O)C(=O)Nc1cccc(-c2ccccc2)c1,0.389053119,0.712032347,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 1, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
