SMILEs,X1s,Y1s
Cc1cc(-c2c(-c3ccc(S(N)(=O)=O)cc3)ccc(F)c2F)ccc1F,0.346351937,0.748860157
COc1ccc(-c2cccc(NC(=O)c3cccc(C#N)c3)c2)cc1CN1CCC(O)CC1,0.174253051,0.896295218
N=C(N)c1ccc2[nH]c(-c3cccc(-c4cc(CNC(=O)CO)ccc4O)c3O)cc2c1,0.096153592,0.949493723
CN1CCCCC1CCc1cc(C(=O)Nc2ccc(-c3ccc(O)cc3)cc2)ccc1O,0.123443732,0.922881553
Cc1cc(CCCOc2c(C)cc(-c3ccc(N(C)C)cc3)cc2C)on1,0.212666619,0.897196911
COC(=O)c1cccc(CNCc2cccc(-c3cccc(-c4nc5ccccc5[nH]4)c3)c2)c1,0.096122996,0.937004345
CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2cccc(-c3ccccc3)c2)cc1,0.387176916,0.769911438
CC[C@H]1OC(=O)[C@H](C)[C@H]2OC/C(=N\Oc3ccc(-c4ccccc4)cc3)CCO[C@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]3NC(=O)O[C@@]31C)[C@H](O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O)[C@H]2C,0.386202243,0.772388916
O=C(c1ccc(-c2ccc(Cl)cc2)cc1)N(CC1CC1)CC1CCCO1,0.135014459,0.897938633
CCCCc1nn(-c2cc(NC(=O)CCC)ccc2Cl)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccccc2Cl)cc1,0.430256012,0.688635394
CC(C)c1cnc2c(C(F)(F)F)cccc2c1-c1cccc(-c2cccc(S(C)(=O)=O)c2)c1,0.334907681,0.804426757
CCCc1ncc(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0.278590036,0.904715602
O=C(O)c1ccc(-c2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1OC1CCCCC1,0.230139828,0.835732345
CNCc1cccc(NC(=O)CN2CCCCC(NC(=O)c3ccc(-c4ccccc4)cc3)C2=O)c1,0.386079453,0.721348946
CCCCc1nc(SC)c(C(=O)NS(=O)(=O)c2ccccc2)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)NCCC)cc1,0.458334473,0.813339289
CC(C)n1cnc2c(NCc3ccc(-c4ccccc4)cc3)nc(NCCCCN)nc21,0.313507755,0.910824609
CCCCc1nc2ccc(N3CCCCC3=O)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,0.432332933,0.742565428
Cc1cc(O)c(C(=O)/C=C/c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)c1C(=O)/C=C/c1ccc(Cl)cc1,0.381792884,0.837988253
CC1CN(Cc2ccc(-c3ccc(-c4nc5ccccc5[nH]4)cc3)cc2)CC(C)O1,0.057493054,0.989838054
Oc1cccc(-c2ccc3c(O)c(O)ccc3c2)c1O,0.135166671,0.921315525
COc1ccc(-c2ccc(Cl)cc2)cc1CC(=O)O,0.156203754,0.893547402
COC(=O)[C@H](CSC)NC(=O)c1cc(CNC[C@@H](N)CS)ccc1-c1ccccc1,0.334065049,0.787975648
CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1c(CCC2CCCCC2)nc(=O)c2ccccc21,0.300770988,0.886109567
